CaseID,ResponseId,StartDate,EndDate,BBC1_1,BBC1_2,BBC1_3,BBC1_4,BBC1_5,BBC1_6,BBC1_7,BBC1_8,BBC1_9,BBC1_10,BBC1_11,BBC1_12,BBC1_13,BBC1_14,BBC1_15,BBC1_16,BBC1_17,BBC1_18,BBC1_19,BBC1_20,prg_qstate_punch,BBC2_1,BBC2_2,BBC2_3,BBC2_4,BBC2_5,BBC2_6,BBC2_7,BBC2_8,BBC2_9,BBC2_10,BBC2_11,BBC3_1,BBC3_2,BBC3_3,BBC3_4,BBC3_5,BBC3_6,BBC3_7,BBC3_8,BBC3_9,BBC3_10,bbc4_order,BBC4_1,BBC4_2,BBC4_3,BBC4_4,BBC4_5,BBC4_6,BBC4_7,BBC4_8,BBC5_1,BBC5_2,BBC5_3,BBC5_4,BBC5_5,BBC6,BBC7,BBC8_1,BBC8_2,BBC8_3,BBC8_4,BBC8_5,BBC8_6,BBC8_7,BBC9,BBC10,BBC11,BBC12,PPWORKA,ppage,ppeducat,ppeduc5,ppethm,ppgender,pphhsize,pphouse4,ppinc7,ppmarit5,ppmsacat,ppreg4,pprent,ppemploy,ppstaten,ppt18ov,ppkid017,PPREG9,partyid4,urb_sub_rur,xppracem,ind1,pprent_new,MSC,core_par,Weights,BBC1_19_TEXT,BBC7_12_TEXT
113,R_xzOZB8DeADSRmpP,12/3/2021 22:03:42,12/3/2021 22:28:33,Not Selected,Not Selected,Not Selected,Political extremism or polarization,Not Selected,Not Selected,Not Selected,Government budget and debt,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,The spread of false information,Not Selected,Not Selected,Florida,A fair amount,Not very much,A great deal,A fair amount,A fair amount,A fair amount,A fair amount,Not very much,A great deal,Don’t know/Never heard,Don’t know/Never heard,Don’t know,False,Don’t know,Don’t know,Don’t know,True,False,False,True,False,2,Somewhat agree,Don’t know,Strongly disagree, ,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly agree,Very concerned,Somewhat concerned,Very concerned,Somewhat concerned,Very concerned,Don’t know,Other [SPECIFY],Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,"No, none of the above",Fully vaccinated,Donald Trump,Other Christian religion,Yes,Employed full-time (by someone else),41,Bachelor or higher,Bachelor’s degree,"Other, Non-Hispanic",Male,6 or more,One-family house detached from any other house,"$150,000 or more",Now married,Metro area,South,Owned or being bought by you or someone in,Working full-time,FL,3,3,South Atlantic,Independent,Suburban,Asian,"Professional, Scientific, Technical, and Business Services",Owned by you or someone in your household with a mortgage or loan,Inside a suburban county of the MSA,Yes,.4316879,Skipped,I read both sides and try to find the substance rather than the rhetoric in the different networks bias
114,R_BycTQ2TqyI1XqZb,12/3/2021 19:54:07,12/3/2021 19:58:23,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,New York,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped, ,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped, ,Skipped,52,Bachelor or higher,Bachelor’s degree,"Other, Non-Hispanic",Male,4,One-family house detached from any other house,"$100,000 to $149,999",Now married,Metro area,Northeast,Owned or being bought by you or someone in,Working full-time,NY,2,2,Mid-Atlantic,Refused,Urban,Asian,Not asked,Refused,In the center city of an MSA,No,.9618883,Skipped,Skipped
115,R_2Tw2NmOuvtxYgbe,12/5/2021 14:20:52,12/5/2021 14:39:47,Not Selected,Not Selected,Not Selected,Political extremism or polarization,Not Selected,Not Selected,Not Selected,Government budget and debt,Immigration,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Florida,A fair amount,None at all,A great deal,A fair amount,A great deal,A great deal,A fair amount,A fair amount,A fair amount,Don’t know/Never heard,Don’t know/Never heard,False,False,Don’t know,False,Don’t know,True,False,False,Don’t know,False,1,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree, ,Strongly agree,Strongly disagree,Strongly agree,Very concerned,Very concerned,Very concerned,Don’t know,Very concerned,Don’t know,FOX News,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,"No, none of the above",Fully vaccinated,Joe Biden,Catholic,No,Employed part-time (by someone else),78,Bachelor or higher,Bachelor’s degree,"White, Non-Hispanic",Female,3,One-family condo or townhouse attached to other units,"$25,000 to $49,999",Now married,Metro area,South,Owned or being bought by you or someone in,Working part-time,FL,3,0,South Atlantic,Republican,Suburban,White,Education and Tutoring,Owned by you or someone in your household with a mortgage or loan,Outside the center city of an MSA but inside the county containing the center city,No,.5133606,Skipped,Skipped
116,R_1jxIcg3Q6na2XTQ,12/3/2021 23:35:38,12/4/2021 11:39:48,COVID-19/coronavirus,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Immigration,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,The spread of false information,Not Selected,Not Selected,Texas,A fair amount,None at all,A fair amount,Not very much,A fair amount,A fair amount,Not very much,None at all,A fair amount,None at all,Not very much,False,False,True,True,False,False,False,False,True,Don’t know,1,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree, ,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat concerned,Somewhat concerned,Somewhat concerned,Not at all concerned,Somewhat concerned,They were well-meaning but got carried away in the moment,FOX News, Attend a city/town council meeting, Contact your elected officials,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Fully vaccinated plus a booster,Donald Trump,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",Yes,Retired,70,HS,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Female,2,One-family condo or townhouse attached to other units,"$25,000 to $49,999",Now married,Metro area,South,Owned or being bought by you or someone in,Not working,TX,2,0,West-South Central,Independent,Urban,White,Not asked,Owned by you or someone in your household free and clear (without a mortgage or loan),In the center city of an MSA,No,.865033,Skipped,Skipped
117,R_12A8ZLcp6JMD1Mx,12/4/2021 6:39:09,12/4/2021 6:59:36,COVID-19/coronavirus,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Crime or gun violence,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,The spread of false information,Not Selected,Not Selected,Michigan,None at all,A fair amount,A great deal,A fair amount,A fair amount,A fair amount,A great deal,A fair amount,Not very much,Don’t know/Never heard,Don’t know/Never heard,Don’t know,True,Don’t know,Don’t know,True,False,False,False,False,False,2,Strongly agree,Strongly disagree,Strongly agree, ,Strongly disagree,Strongly agree,Strongly disagree,Don’t know,Somewhat concerned,Somewhat concerned,Somewhat concerned,Don’t know,Don’t know,They are criminals,Public television or radio,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,"No, none of the above",Fully vaccinated plus a booster,Skipped,Catholic,Yes,Homemaker,74,HS,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Female,2,One-family house detached from any other house,"$10,000 to $24,999",Now married,Metro area,Midwest,Owned or being bought by you or someone in,Not working,MI,2,0,East-North Central,Independent,Suburban,White,Not asked,Owned by you or someone in your household free and clear (without a mortgage or loan),Outside the center city of an MSA but inside the county containing the center city,No,1.4386147,Skipped,Skipped
118,R_3plNkabTDXUeErc,12/4/2021 6:20:23,12/4/2021 6:48:18,Not Selected,Not Selected,Not Selected,Political extremism or polarization,Not Selected,Not Selected,Not Selected,Not Selected,Immigration,Not Selected,Not Selected,Not Selected,Social inequality,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Michigan,A great deal,None at all,None at all,Not very much,A fair amount,A fair amount,A fair amount,None at all,A great deal,None at all,Not very much,True,False,False,True,False,Don’t know,False,Don’t know,True,True,1,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree, ,Somewhat agree,Somewhat agree,Strongly agree,Very concerned,Somewhat concerned,Somewhat concerned,Not very concerned,Very concerned,They are left-wing terrorists or Antifa,ABC / CBS / NBC News,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,"No, none of the above","No, and I do not plan to get the vaccine",Donald Trump,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",Yes,Retired,77,Some college,Some college or Associate degree,"White, Non-Hispanic",Female,2,Building with 2 or more apartments,"$10,000 to $24,999",Divorced,Non-metro area,Midwest,Rented for cash,Not working,MI,1,1,East-North Central,Republican,Suburban,White,Not asked,Rented,Not in an MSA,No,.5063294,Skipped,Skipped
119,R_3GlIhfAux8wGDy4,12/5/2021 7:23:38,12/5/2021 8:07:06,COVID-19/coronavirus,Not Selected,Not Selected,Not Selected,Not Selected,Climate change,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Other [SPECIFY],Not Selected,New Jersey,None at all,A great deal,A fair amount,A fair amount,A fair amount,A great deal,A fair amount,A fair amount,None at all,A great deal,None at all,False,True,Don’t know,False,True,True,False,False,False,False,2,Strongly agree,Strongly disagree,Strongly agree, ,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Very concerned,Very concerned,Not at all concerned,Somewhat concerned,Very concerned,They are right-wing domestic terrorists,MSNBC,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,"No, none of the above",Fully vaccinated plus a booster,Joe Biden,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",Yes,Employed full-time (by someone else),62,Bachelor or higher,Master’s degree or above,"White, Non-Hispanic",Male,1,One-family condo or townhouse attached to other units,"$150,000 or more",Never married,Metro area,Northeast,Owned or being bought by you or someone in,Working full-time,NJ,1,0,Mid-Atlantic,Independent,Suburban,White,"Finance, Banking, and Insurance",Owned by you or someone in your household free and clear (without a mortgage or loan),Inside a suburban county of the MSA,No,.5852642,Dismantling of U.S. voting system integriity by Republican legislatures,Skipped
120,R_3nedZV6FpolA7Cw,12/4/2021 8:27:00,12/4/2021 8:39:48,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Crime or gun violence,Government budget and debt,Immigration,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Texas,Not very much,Not very much,A fair amount,A fair amount,A fair amount,A fair amount,A fair amount,A fair amount,Not very much,Don’t know/Never heard,Don’t know/Never heard,False,True,True,False,True,True,False,False,False,False,2,Strongly agree,Strongly disagree,Somewhat agree, ,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Very concerned,Somewhat concerned,Not very concerned,Somewhat concerned,Somewhat concerned,They were well-meaning but got carried away in the moment,Digital or online news,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,"No, none of the above","No, and I do not plan to get the vaccine",Did not vote,Other Christian religion,No,Employed full-time (by someone else),31,Some college,Some college or Associate degree,"White, Non-Hispanic",Male,1,Building with 2 or more apartments,"$25,000 to $49,999",Never married,Metro area,South,Rented for cash,Working full-time,TX,1,0,West-South Central,Independent,Suburban,White,"Delivery Services, Warehousing, and Transportation (including Air, Rail, Water, Truck, and Passenger)",Rented,Outside the center city of an MSA but inside the county containing the center city,No,2.4015241,Skipped,Skipped
121,R_3QFPUSFpKukVLSX,12/4/2021 4:40:38,12/4/2021 5:31:14,Not Selected,Not Selected,Not Selected,Political extremism or polarization,Not Selected,Not Selected,Crime or gun violence,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,The spread of false information,Not Selected,Not Selected,Ohio,None at all,Not very much,A fair amount,Not very much,Not very much,A great deal,A fair amount,A fair amount,None at all,Don’t know/Never heard,None at all,False,True,True,False,True,True,False,False,False,False,2,Strongly agree,Strongly disagree,Strongly agree, ,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Very concerned,Very concerned,Not very concerned,Don’t know,Very concerned,They are criminals,None of these,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,"No, none of the above",Fully vaccinated,Joe Biden,No religion, ,Employed full-time (by someone else),56,Some college,Some college or Associate degree,"Black or African American, Non-Hispanic",Male,4,One-family house detached from any other house,"$75,000 to $99,999",Now married,Metro area,Midwest,Owned or being bought by you or someone in,Working full-time,OH,4,0,East-North Central,Something else,Suburban,Black or African American,"Finance, Banking, and Insurance",Owned by you or someone in your household with a mortgage or loan,Outside the center city of an MSA but inside the county containing the center city,No,.9090123,Skipped,Skipped
122,R_1NFbL18exP4NeaR,12/4/2021 7:07:55,12/4/2021 7:55:05,Not Selected,Not Selected,Not Selected,Political extremism or polarization,Not Selected,Not Selected,Crime or gun violence,Not Selected,Immigration,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,New Jersey,A fair amount,None at all,A fair amount,Not very much,A fair amount,A great deal,A fair amount,Not very much,A fair amount,Not very much,A fair amount,False,Don’t know,True,Don’t know,Don’t know,True,False,False,Don’t know,False,2,Somewhat disagree,Somewhat agree,Somewhat disagree, ,Don’t know,Don’t know,Strongly disagree,Strongly agree,Skipped,Very concerned,Somewhat concerned,Somewhat concerned,Very concerned,They are criminals,FOX News,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,"No, none of the above",Fully vaccinated,Donald Trump,Catholic,No,Retired,76,HS,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Female,2,One-family house detached from any other house,"$100,000 to $149,999",Now married,Metro area,Northeast,Owned or being bought by you or someone in,Not working,NJ,2,0,Mid-Atlantic,Republican,Suburban,White,Not asked,Owned by you or someone in your household free and clear (without a mortgage or loan),Outside the center city of an MSA but inside the county containing the center city,No,1.0385813,Skipped,Skipped
123,R_1mr2PlbxNwfqSjU,12/3/2021 19:29:33,12/3/2021 19:44:03,Not Selected,Not Selected,Not Selected,Political extremism or polarization,Not Selected,Not Selected,Not Selected,Government budget and debt,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,The spread of false information,Not Selected,Not Selected,Michigan,Not very much,None at all,Not very much,Not very much,A fair amount,A fair amount,Not very much,Not very much,Don’t know/Never heard,Don’t know/Never heard,Don’t know/Never heard,False,True,Don’t know,Don’t know,True,True,False,False,True,Don’t know,2,Somewhat agree,Somewhat agree,Somewhat agree, ,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,They are criminals,ABC / CBS / NBC News,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,"No, none of the above","No, and I do not plan to get the vaccine",Donald Trump,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",No,Employed full-time (by someone else),58,HS,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Male,4,One-family house detached from any other house,"$50,000 to $74,999",Now married,Metro area,Midwest,Owned or being bought by you or someone in,Working full-time,MI,4,0,East-North Central,Republican,Rural,White,Construction and Specialty Contractors (such as Plumbing and Electrical),Owned by you or someone in your household with a mortgage or loan,Inside a suburban county of the MSA,No,.8379872,Skipped,Skipped
124,R_skgLPISaIH77IRj,12/4/2021 11:35:26,12/4/2021 11:59:00,Not Selected,Not Selected,Not Selected,Political extremism or polarization,Not Selected,Not Selected,Crime or gun violence,Government budget and debt,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,California,Not very much,None at all,Not very much,A fair amount,A fair amount,A great deal,A great deal,A great deal,Not very much,Don’t know/Never heard,None at all,False,True,True,False,True,True,False,False,True,False,2,Strongly agree,Strongly disagree,Somewhat agree, ,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Very concerned,Very concerned,Not at all concerned,Very concerned,Very concerned,They are criminals,ABC / CBS / NBC News,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,"No, none of the above",Fully vaccinated plus a booster,Donald Trump,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",Yes,Retired,66,Less than HS,No high school diploma or GED,"White, Non-Hispanic",Female,2,One-family house detached from any other house,"$100,000 to $149,999",Now married,Metro area,West,Owned or being bought by you or someone in,Not working,CA,2,0,Pacific,Independent,Urban,White,Not asked,Owned by you or someone in your household free and clear (without a mortgage or loan),In the center city of an MSA,No,1.9789618,Skipped,Skipped
125,R_1LARjWo9kXN0cSd,12/4/2021 8:43:44,12/4/2021 8:59:14,Not Selected,Not Selected,Not Selected,Political extremism or polarization,Not Selected,Climate change,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Education,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Iowa,None at all,A fair amount,Not very much,A fair amount,A fair amount,A great deal,A fair amount,A great deal,None at all,A fair amount,None at all,False,True,True,False,True,True,False,False,False,False,1,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree, ,Strongly agree,Strongly disagree,Strongly disagree,Very concerned,Very concerned,Not very concerned,Very concerned,Very concerned,They are right-wing domestic terrorists,Public television or radio,Not Selected, Contact your elected officials,Not Selected, Volunteer for a political campaign, Donate money to a political campaign, Attend a rally or protest,Not Selected,Fully vaccinated plus a booster,Joe Biden,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",No,Retired,66,Bachelor or higher,Bachelor’s degree,"White, Non-Hispanic",Male,2,One-family house detached from any other house,"$75,000 to $99,999",Now married,Metro area,Midwest,Owned or being bought by you or someone in,Not working,IA,2,0,West-North Central,Democrat,Rural,White,Not asked,Owned by you or someone in your household free and clear (without a mortgage or loan),Inside a suburban county of the MSA,No,.477396,Skipped,Skipped
126,R_3FWFBTBOHeqYI5S,12/4/2021 7:33:38,12/4/2021 10:09:32,Not Selected,Not Selected,Not Selected,Political extremism or polarization,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Opioid or drug addiction,Not Selected,Not Selected,Not Selected,The spread of false information,Not Selected,Not Selected,Oklahoma,None at all,A great deal,None at all,A fair amount,A great deal,A great deal,A great deal,A great deal,None at all,A great deal,None at all,False,True,True,False,True,False,False,False,False,False,2,Strongly agree,Strongly disagree,Strongly agree, ,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,Very concerned,Very concerned,Not at all concerned,Very concerned,Somewhat concerned,They are criminals,ABC / CBS / NBC News,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,"No, none of the above",Fully vaccinated,Joe Biden,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",Yes,Retired,78,Bachelor or higher,Bachelor’s degree,"White, Non-Hispanic",Male,2,One-family house detached from any other house,"$100,000 to $149,999",Now married,Non-metro area,South,Owned or being bought by you or someone in,Not working,OK,2,0,West-South Central,Democrat,Rural,White,Not asked,Owned by you or someone in your household free and clear (without a mortgage or loan),Not in an MSA,No,.5830647,Skipped,Skipped
127,R_3KHhIM6eeeDhoBN,12/4/2021 18:19:52,12/4/2021 18:29:19,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Crime or gun violence,Not Selected,Not Selected,Taxes,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,The spread of false information,Not Selected,Not Selected,New Jersey,A great deal,None at all,Not very much,Not very much,A fair amount,A fair amount,Not very much,Not very much,A fair amount,None at all,A fair amount,False,False,True,Don’t know,Don’t know,True,False,Don’t know,True,Don’t know,1,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree, ,Somewhat agree,Somewhat agree,Somewhat agree,Very concerned,Not very concerned,Somewhat concerned,Not very concerned,Very concerned,Don’t know,Digital or online news,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,"No, none of the above",Fully vaccinated plus a booster,Donald Trump,Catholic,No,Self-employed,63,Bachelor or higher,Master’s degree or above,"Other, Non-Hispanic",Male,3,One-family house detached from any other house,"$25,000 to $49,999",Divorced,Metro area,Northeast,Rented for cash,Working part-time,NJ,3,0,Mid-Atlantic,Republican,Suburban,Asian,Wholesale Trade,Rented,Inside a suburban county of the MSA,No,.2680487,Skipped,Skipped
128,R_28AFuYzLEGuHNqt,12/3/2021 22:47:26,12/3/2021 23:05:22,Not Selected,Healthcare,Not Selected,Not Selected,Not Selected,Not Selected,Crime or gun violence,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,The spread of false information,Not Selected,Not Selected,California,None at all,A fair amount,A fair amount,A fair amount,A fair amount,A great deal,A great deal,A great deal,None at all,Don’t know/Never heard,None at all,Don’t know,True,True,False,True,True,False,False,False,False,2,Strongly agree,Strongly disagree,Strongly agree, ,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Very concerned,Very concerned,Not at all concerned,Very concerned,Very concerned,They are right-wing domestic terrorists,CNN,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,"No, none of the above",Fully vaccinated plus a booster,Joe Biden,Catholic,No,Employed part-time (by someone else),59,Bachelor or higher,Bachelor’s degree,"White, Non-Hispanic",Female,2,One-family house detached from any other house,"$150,000 or more",Now married,Metro area,West,Owned or being bought by you or someone in,Not working,CA,2,0,Pacific,Democrat,Suburban,White,Not asked,Owned by you or someone in your household free and clear (without a mortgage or loan),Outside the center city of an MSA but inside the county containing the center city,No,.6779934,Skipped,Skipped
129,R_2zwsJS90FImj02P,12/5/2021 18:52:38,12/5/2021 19:37:44,Not Selected,Not Selected,Not Selected,Political extremism or polarization,Racial injustice,Not Selected,Crime or gun violence,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Colorado,None at all,A fair amount,A fair amount,A fair amount,A fair amount,A great deal,A fair amount,A great deal,None at all,None at all,None at all,Don’t know,True,True,False,True,True,False,False,False,False,1,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree, ,Strongly agree,Strongly disagree,Somewhat agree,Very concerned,Very concerned,Not at all concerned,Not very concerned,Somewhat concerned,They are right-wing domestic terrorists,ABC / CBS / NBC News,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,"No, none of the above",Fully vaccinated plus a booster,Joe Biden,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",Yes,Self-employed,74,Bachelor or higher,Master’s degree or above,"White, Non-Hispanic",Male,1,One-family house detached from any other house,"$150,000 or more",Now married,Metro area,West,Owned or being bought by you or someone in,Not working,CO,1,0,Mountain,Independent,Rural,White,Not asked,Owned by you or someone in your household with a mortgage or loan,Outside the center city of an MSA but inside the county containing the center city,Skipped,.5750641,Skipped,Skipped
130,R_2XgsyPFl8wYNPJM,12/4/2021 3:45:54,12/4/2021 4:00:16,Not Selected,Healthcare,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Immigration,Taxes,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Florida,A fair amount,None at all,A fair amount,A fair amount,A fair amount,A fair amount,Don’t know/Never heard,Not very much,Don’t know/Never heard,Don’t know/Never heard,Don’t know/Never heard,Don’t know,False,Don’t know,False,Don’t know,True,False,False,True,Don’t know,1,Somewhat disagree,Somewhat agree,Somewhat agree,Don’t know, ,Strongly agree,Strongly disagree,Don’t know,Very concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,They were well-meaning but got carried away in the moment,ABC / CBS / NBC News,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,"No, none of the above",Fully vaccinated plus a booster,Donald Trump,Catholic,No,Retired,66,Bachelor or higher,Bachelor’s degree,"White, Non-Hispanic",Female,2,One-family house detached from any other house,"$75,000 to $99,999",Now married,Metro area,South,Owned or being bought by you or someone in,Not working,FL,2,0,South Atlantic,Independent,Suburban,White,Not asked,Owned by you or someone in your household free and clear (without a mortgage or loan),Outside the center city of an MSA but inside the county containing the center city,No,.5703109,Skipped,Skipped
131,R_3iD92UeUg7gN56n,12/3/2021 19:03:20,12/4/2021 5:02:01,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Government budget and debt,Immigration,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Nuclear conflict,Not Selected,Not Selected,Not Selected,Not Selected,Missouri,Not very much,Not very much,A fair amount,A fair amount,Not very much,A fair amount,A fair amount,None at all,Not very much,None at all,None at all,False,False,Don’t know,Don’t know,Don’t know,Don’t know,False,Don’t know,Don’t know,Don’t know,1,Don’t know,Don’t know,Don’t know,Don’t know, ,Strongly disagree,Strongly disagree,Don’t know,Very concerned,Very concerned,Don’t know,Very concerned,Don’t know,Don’t know,None of these,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,"No, none of the above",Fully vaccinated,Donald Trump,Catholic,No,Employed full-time (by someone else),44,HS,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Male,4,One-family house detached from any other house,"$100,000 to $149,999",Now married,Metro area,Midwest,Owned or being bought by you or someone in,Working full-time,MO,3,1,West-North Central,Republican,Rural,White,"Factory, Manufacturing, and Woodworking",Owned by you or someone in your household with a mortgage or loan,Outside the center city of an MSA but inside the county containing the center city,Yes,1.0603395,Skipped,Skipped
132,R_3FPBw5SvbvoclKm,12/4/2021 7:57:15,12/4/2021 8:22:22,Not Selected,Healthcare,Not Selected,Not Selected,Not Selected,Climate change,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Other [SPECIFY],Not Selected,Nevada,None at all,A fair amount,A fair amount,A great deal,A fair amount,A great deal,A fair amount,A fair amount,None at all,A fair amount,Don’t know/Never heard,False,True,False,False,True,Don’t know,False,False,False,False,1,Strongly agree,Strongly disagree,Strongly agree,Somewhat disagree, ,Strongly agree,Somewhat agree,Don’t know,Very concerned,Not very concerned,Not very concerned,Very concerned,Very concerned,They are criminals,CNN, Attend a city/town council meeting, Contact your elected officials,Not Selected, Volunteer for a political campaign, Donate money to a political campaign,Not Selected,Not Selected,Fully vaccinated plus a booster,Joe Biden,Catholic,No,Retired,78,Bachelor or higher,Master’s degree or above,"White, Non-Hispanic",Male,2,One-family house detached from any other house,"$25,000 to $49,999",Never married,Metro area,West,Owned or being bought by you or someone in,Not working,NV,2,0,Mountain,Democrat,Suburban,White,Not asked,Owned by you or someone in your household with a mortgage or loan,Outside the center city of an MSA but inside the county containing the center city,No,.4310618,Social Security,Skipped
